phone,address,avg_price,rating,admin_name,opening_hours_list,categories,name,phone,address,avg_price,rating,admin_name,opening_hours_list,categories,name,phone,address,avg_price,rating,admin_name,opening_hours_list,categories,name
0423025258,臺中市西區向上北路100之5號,650,4.2,西區,"['星期一 11:30-14:30, 17:30-21:30', '星期二 11:30-14:30, 17:30-21:30', '星期三 11:30-14:30, 17:30-21:30', '星期四 11:30-14:30, 17:30-21:30', '星期五 11:30-14:30, 17:30-21:30', '星期六 11:30-15:00, 17:30-21:30', '星期日 11:30-15:00, 17:30-21:30']","['咖啡', '精緻高級', '約會餐廳']",YABI KITCHEN 台中向上店,0422311699,臺中市北屯區太原3段191號,0,4.6,北屯區,"['星期一 11:00-14:00, 17:00-21:30', '星期二 11:00-14:00, 17:00-21:30', '星期三 11:00-14:00, 17:00-21:30', '星期四 11:00-14:00, 17:00-21:30', '星期五 11:00-14:00, 17:00-21:30', '星期六 11:00-14:00, 17:00-21:30', '星期日 11:00-14:00, 17:00-21:30']","['小吃', '午餐', '晚餐']",溫叨古早味料理餐廳,0423507700,臺中市西屯區安和西路69號1樓,560,4.9,西屯區,[],"['甜點', '早午餐', '新開幕', '下午茶']",SiZZO 款款好食
,臺中市沙鹿區中69鄉道576號,50,5.0,沙鹿區,[],[],港都茶站 養生牛蒡茶 紅茶冰,0982767760,臺中市西區健行路1049號3F60號攤位,210,4.8,西區,"['星期一 休息', '星期二 10:30-20:00', '星期三 10:30-20:00', '星期四 10:30-20:00', '星期五 10:30-20:00', '星期六 10:30-20:00', '星期日 10:30-20:00']","['素食', '小吃', '午餐', '晚餐']",碧田家 蘿蔔糕 蘿蔔糕米花,0424367251,臺中市北屯區東山路一段50之17號早安有喜東山店旁號,80,4.8,北屯區,"['星期一 14:00-21:00', '星期二 12:00-22:00', '星期三 12:00-22:00', '星期四 12:00-22:00', '星期五 12:00-22:00', '星期六 10:00-22:00', '星期日 10:00-22:00']","['早午餐', '下午茶', '鬆餅', '輕食']",嘉蜜爾雞蛋糕鬆餅
0972462207,臺中市北區大義街137號,300,4.7,北區,"['星期一 休息', '星期二 17:30-20:00', '星期三 12:00-13:30, 17:30-20:00', '星期四 12:00-13:30, 17:30-20:00', '星期五 12:00-13:30, 17:30-20:00', '星期六 11:30-14:00, 17:30-20:00', '星期日 11:30-14:00, 17:30-20:00']","['拉麵', '日本料理', '午餐', '晚餐']",麵屋田宗,0423808199,臺中市南屯區永春東七路725號,300,4.4,No,"['星期一 10:00-13:00, 15:00-20:00', '星期二 10:00-13:00, 15:00-20:00', '星期三 休息', '星期四 10:00-13:00, 15:00-20:00', '星期五 10:00-13:00, 15:00-20:00', '星期六 10:00-13:00, 15:00-20:00', '星期日 10:00-13:00, 15:00-20:00']","['甜點', '下午茶']",不二糕餅 原不二製餅,0983123898,臺中市東區大智路89之1號,70,4.6,東區,"['星期一 15:30-22:00', '星期二 15:30-22:00', '星期三 休息', '星期四 15:30-22:00', '星期五 15:30-22:00', '星期六 15:30-22:00', '星期日 15:30-22:00']","['小吃', '晚餐', '下午茶']",濃鄉臭豆腐
0423295911,臺中市西區公益路68號B1樓,500,4.3,西區,"['星期一 11:00-23:00', '星期二 11:00-23:00', '星期三 11:00-23:00', '星期四 11:00-23:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-23:00']","['酒吧', '晚餐', '啤酒', '外帶外送店家']",金色三麥,0968319380,臺中市大雅區中清路三段928號,1000,4.9,大雅區,"['星期一 休息', '星期二 休息', '星期三 12:00-14:30, 18:00-21:30', '星期四 12:00-14:30, 18:00-21:30', '星期五 12:00-14:30, 18:00-21:30', '星期六 12:00-14:30, 18:00-21:30', '星期日 12:00-14:30, 18:00-21:30']","['日本料理', '精緻高級', '約會餐廳', '午餐']",味市 お料理 割烹,0423275900,臺中市南屯區公益路二段150號,0,4.2,南屯區,"['星期一 11:00-20:00', '星期二 11:00-20:00', '星期三 11:00-20:00', '星期四 11:00-20:00', '星期五 11:00-20:00', '星期六 11:00-20:00', '星期日 11:00-20:00']","['飲料店', '冰品飲料', '下午茶']",lowfun裸放茶旅
0936619408,臺中市西屯區逢甲路301巷22弄3號,0,4.8,西屯區,"['星期一 14:30-19:00', '星期二 14:30-19:00', '星期三 14:30-19:00', '星期四 14:30-19:00', '星期五 14:30-19:00', '星期六 休息', '星期日 休息']",['烘焙坊'],初三吃麵包,,臺中市大裏區德芳南二街,120,4.1,大里區,"['星期一 18:00-23:00', '星期二 休息', '星期三 休息', '星期四 18:00-23:00', '星期五 休息', '星期六 休息', '星期日 休息']",['果汁吧'],勝利大夜市,0422068066,臺中市北區中清路一段199號,0,4.1,北區,"['星期一 10:00-22:00', '星期二 10:00-22:00', '星期三 10:00-22:00', '星期四 10:00-22:00', '星期五 10:00-22:00', '星期六 10:00-22:00', '星期日 10:00-22:00']",['烘焙坊'],拉波兒麵包
0423117707,臺中市西屯區何厝街122號,0,4.8,西屯區,"['星期一 10:00-21:00', '星期二 10:00-21:00', '星期三 10:00-21:00', '星期四 10:00-21:00', '星期五 10:00-21:00', '星期六 08:30-16:00', '星期日 08:30-16:00']","['早午餐', '精緻高級', '約會餐廳', '午餐']",六樓A座-the tenant brunch,0422271977,臺中市中區成功路202巷15號,85,4.7,中區,"['星期一 11:00-13:00', '星期二 11:00-13:00', '星期三 11:00-13:00', '星期四 11:00-13:00', '星期五 11:00-13:00', '星期六 11:00-13:00', '星期日 休息']",['小吃'],豪記便當,0424656666,臺中市西屯區西屯路三段150之45號,1000,4.4,西屯區,"['星期一 17:00-22:00', '星期二 17:00-22:00', '星期三 17:00-22:00', '星期四 17:00-22:00', '星期五 17:00-22:00', '星期六 11:30-15:00, 17:00-22:00', '星期日 11:30-15:00, 17:00-22:00']","['牛排', '晚餐']",品味碳烤牛排-台中生酮飲食|必吃牛排|人氣牛排|原塊牛排推薦|炭烤牛排推薦|推薦牛排
0424962278,臺中市大里區塗城路923巷16號,350,4.7,大里區,"['星期一 休息', '星期二 09:00-14:30', '星期三 09:00-14:30', '星期四 09:00-14:30', '星期五 09:00-14:30, 17:50-20:15', '星期六 09:00-14:30, 17:50-20:30', '星期日 09:00-14:30, 17:50-20:30']","['早午餐', '燒烤', '精緻高級', '約會餐廳']",WPAPA Teppanyaki Brunch,0912466022,臺中市東區旱溪東路一段,200,4.3,東區,"['星期一 休息', '星期二 17:00-00:00', '星期三 00:00-01:00', '星期四 17:00-00:00', '星期五 00:00-01:00, 17:00-00:00', '星期六 00:00-01:00, 17:00-00:00', '星期日 00:00-01:00']",[],旱溪夜市,0422073000,臺中市北區學士路251號,350,3.9,北區,"['星期一 06:30-21:30', '星期二 06:30-21:30', '星期三 06:30-21:30', '星期四 06:30-21:30', '星期五 06:30-21:30', '星期六 06:30-21:30', '星期日 06:30-21:30']","['甜點', '蛋糕', '下午茶']",FM STATION馥漫麵包花園(學士店)
0425825886,臺中市新社區協中街6之3號,275,4.4,新社區,"['星期一 10:30-18:00', '星期二 休息', '星期三 休息', '星期四 10:30-18:00', '星期五 10:30-18:00', '星期六 10:30-18:00', '星期日 10:30-18:00']","['咖啡', '甜點', '親子餐廳', '日本料理']",山水啡 Cafe&Meal,0425572323,臺中市後裏區梅裏路50巷3號,0,4.6,后里區,"['星期一 11:00-14:00, 17:00-19:30', '星期二 11:00-14:00, 17:00-19:30', '星期三 11:00-14:00, 17:00-19:30', '星期四 11:00-14:00, 17:00-19:30', '星期五 11:00-14:00, 17:00-19:30', '星期六 11:00-14:00, 17:00-19:30', '星期日 11:00-14:00, 17:00-19:30']","['小吃', '午餐']",美如 家 ru's kitchen,0422395289,臺中市北屯區東山路一段408之2號,60,4.4,北屯區,"['星期一 09:00-22:00', '星期二 09:00-22:00', '星期三 09:00-22:00', '星期四 09:00-22:00', '星期五 09:00-22:00', '星期六 09:00-22:00', '星期日 09:00-22:00']","['甜點', '小吃', '冰品飲料', '下午茶']",老芋仔芋圓
0424525755,臺中市西屯區河南路二段363之3號2F,630,4.2,西屯區,"['星期一 11:30-14:30, 17:30-22:00', '星期二 11:30-14:30, 17:30-22:00', '星期三 11:30-14:30, 17:30-22:00', '星期四 11:30-14:30, 17:30-22:00', '星期五 11:30-14:30, 17:30-22:00', '星期六 11:30-14:30, 17:30-22:00', '星期日 11:30-14:30, 17:30-22:00']","['牛排', '午餐', '晚餐']",陶板屋 台中河南店,0423399742,台中市霧峰區坑口里新生路126號,600,4.6,霧峰區,"['星期一 休息', '星期二 14:00-00:00', '星期三 14:00-00:00', '星期四 14:00-00:00', '星期五 14:00-00:00', '星期六 14:00-00:00', '星期日 14:00-00:00']","['餐酒館', '精緻高級', '約會餐廳', '宵夜']",霧樂家釀啤酒本舖,0919080656,臺中市沙鹿區和平街12號,40,4.5,龍井區,"['星期一 08:00-19:00', '星期二 08:00-19:00', '星期三 08:00-19:00', '星期四 08:00-19:00', '星期五 08:00-19:00', '星期六 08:00-19:00', '星期日 08:00-19:00']","['小吃', '午餐', '下午茶']",幸福之家 黃金煉乳饅頭
0919741359,臺中市東區大智路17巷6號,290,4.6,東區,"['星期一 11:30-14:00, 17:30-20:00', '星期二 11:30-14:00, 17:30-20:00', '星期三 11:30-14:00, 17:30-20:00', '星期四 11:30-14:00, 17:30-20:00', '星期五 11:30-14:00, 17:30-20:00', '星期六 休息', '星期日 休息']","['拉麵', '日本料理', '素食', '午餐']",福屋拉麵,0422466568,臺中市北屯區熱河路二段220號,300,4.4,北屯區,"['星期一 11:00-14:00, 17:00-20:00', '星期二 11:00-14:00, 17:00-20:00', '星期三 11:00-14:00, 17:00-20:00', '星期四 11:00-14:00, 17:00-20:00', '星期五 11:00-14:00, 17:00-20:00', '星期六 11:00-14:00, 17:00-20:00', '星期日 11:00-14:00, 17:00-20:00']","['港式料理', '中式料理', '合菜', '午餐']",品嘉茶餐廳,0423589887,臺中市西屯區福科路366號,550,4.7,西屯區,"['星期一 10:00-19:00', '星期二 10:00-19:00', '星期三 10:00-19:00', '星期四 10:00-19:00', '星期五 10:00-19:00', '星期六 10:00-19:00', '星期日 10:00-19:00']","['蛋糕', '甜點', '下午茶']",四月南風 卡斯提拉蛋糕
,臺中市西區公益路68號B1,190,5.0,西區,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-21:30', '星期六 11:00-21:30', '星期日 11:00-21:30']","['飲料店', '下午茶']",löwfun裸放茶旅 勤美店,0965407163,臺中市大裏區中興路一段306巷11號,50,4.8,大里區,"['星期一 10:00-19:00', '星期二 10:00-19:00', '星期三 10:00-19:00', '星期四 10:00-19:00', '星期五 10:00-19:00', '星期六 10:00-19:00', '星期日 休息']","['甜點', '下午茶', '烘焙坊']",J.L.手作烘焙,0422556885,臺中市南屯區公益路二段702號,1000,4.8,南屯區,"['星期一 11:30-14:00, 17:30-21:30', '星期二 11:30-14:00, 17:30-21:30', '星期三 11:30-14:30, 17:30-21:00', '星期四 11:30-14:00, 17:30-21:30', '星期五 11:30-14:00, 17:30-21:30', '星期六 11:00-14:00, 17:00-21:30', '星期日 11:00-14:00, 17:00-21:30']","['燒烤', '午餐', '晚餐']",原燒O-NiKU 台中公益店
0423010213,臺中市西區模範街23巷12之3號,300,4.5,西區,"['星期一 11:30-15:00, 17:30-21:00', '星期二 11:30-15:00, 17:30-21:00', '星期三 11:30-15:00, 17:30-21:00', '星期四 11:30-15:00, 17:30-21:00', '星期五 11:30-15:00, 17:30-21:00', '星期六 11:30-15:30, 17:30-21:30', '星期日 11:30-15:30, 17:30-21:30']","['咖哩', '精緻高級', '約會餐廳', '午餐']",盛食咖哩店 勤美店,0958513673,臺中市南區忠孝路139號,50,4.9,南區,"['星期一 16:00-23:00', '星期二 休息', '星期三 16:00-23:00', '星期四 16:00-23:00', '星期五 16:00-23:00', '星期六 16:00-23:00', '星期日 16:00-23:00']","['晚餐', '攤販']",菱角俠菱角酥 台中忠孝店,0423230013,臺中市北區博館東街7號,0,4.9,北區,"['星期一 07:00-15:00', '星期二 07:00-15:00', '星期三 07:00-15:00', '星期四 07:00-15:00', '星期五 07:00-15:00', '星期六 07:00-15:00', '星期日 07:00-15:00']","['早午餐', '新開幕', '早餐', '午餐']",GOGOBUS 元氣巴士
0425200198,臺中市豐原區圓環東路722號,230,4.0,豐原區,"['星期一 11:00-21:00', '星期二 11:00-21:00', '星期三 11:00-21:00', '星期四 11:00-21:00', '星期五 11:00-21:00', '星期六 11:00-21:00', '星期日 11:00-21:00']","['火鍋', '午餐', '晚餐']",大喜鍋豐原店,0423805248,臺中市南屯區黎明路二段234號,90,4.2,南屯區,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']","['小吃', '甜點', '冰品飲料']",黃家黑砂糖剉冰,0963609222,臺中市西屯區福科路362巷12號1樓,300,4.9,西屯區,[],['港式料理'],蓮達•港FUSION
0423803669,臺中市南屯區永春東路1030號,200,4.7,南屯區,"['星期一 12:00-22:00', '星期二 12:00-22:00', '星期三 12:00-22:00', '星期四 休息', '星期五 12:00-22:00', '星期六 12:00-22:00', '星期日 12:00-22:00']","['午餐', '晚餐', '韓式料理']",韓雞Bar-台中南屯加盟店,0423100033,臺中市西屯區大墩十八街118號,268,4.4,西屯區,"['星期一 11:30-14:30, 17:30-22:00', '星期二 11:30-14:30, 17:30-22:00', '星期三 11:30-14:30, 17:00-22:00', '星期四 11:30-14:30, 17:00-22:00', '星期五 11:30-14:30, 17:30-22:00', '星期六 11:30-22:00', '星期日 11:30-22:00']","['火鍋', '午餐', '晚餐']",江小漁-酸菜魚 台中大墩店,0925443397,台中市豐原區復興路41號,0,3.9,豐原區,"['星期一 14:30-21:00', '星期二 14:30-21:00', '星期三 14:30-21:00', '星期四 14:30-21:00', '星期五 14:30-21:00', '星期六 13:00-21:00', '星期日 13:00-21:00']",['甜點'],88脆皮雞蛋糕 豐原店
0423103189,臺中市南屯區大墩14街170號,50,4.8,南屯區,"['星期一 休息', '星期二 休息', '星期三 11:30-21:00', '星期四 11:30-21:00', '星期五 11:30-21:00', '星期六 11:30-21:00', '星期日 11:30-19:00']","['甜點', '小吃', '冰品飲料']",2in1 冰淇淋,0423299555,臺中市南屯區大墩路653號,0,4.4,南屯區,"['星期一 09:00-22:00', '星期二 09:00-22:00', '星期三 09:00-22:00', '星期四 09:00-22:00', '星期五 09:00-22:00', '星期六 09:00-22:00', '星期日 09:00-22:00']",['烘焙坊'],麥仕佳專業烘焙,0423011973,台中市西區向上路一段289巷2號,338,4.4,西區,"['星期一 休息', '星期二 休息', '星期三 12:00-18:00', '星期四 12:00-18:00', '星期五 12:00-18:00', '星期六 12:00-19:00', '星期日 12:00-19:00']","['咖啡', '甜點', '早午餐', '蛋糕']",拾年咖啡Coffee Decade
